source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
CAFs,Normal Epithelial,HMGB1,CXCR4,0.91044253,1.0,0.19527638,-0.22030263319153803,-1.2726414017650156,0.0020214852,0.8230777,1.0,0.8054969318456031
PVL,T-cells,CXCL12,CXCR3,0.43066823,0.0,0.18544903,0.5422742355134981,0.6159763074245483,0.08768111,0.81928664,0.09597540784822821,0.806611080091644
Myeloid,T-cells,CXCL12,ITGB1,0.3268695,1.0,0.06518115,-0.25403752857162476,-0.7444335184139791,0.0032961871,0.72883445,1.0,0.8068511099420976
Endothelial,PVL,CXCL12,CD4,0.34404942,0.0,0.06514383,0.1505011554209582,0.30388602701027717,0.020825576,0.7287778,0.7170122829135002,0.8070914109642604
Myeloid,T-cells,CCL13,CXCR3,0.29334685,0.0,0.068572566,0.7998945141813378,0.83004369176338,0.4239952,0.73381746,0.06964344149972558,0.8070914109642604
T-cells,T-cells,CXCL13,CXCR3,0.4308036,0.0,0.18556423,0.7742792826179812,1.6963782047648628,0.26063883,0.8193326,0.033097417272005325,0.8073315360911886
CAFs,Myeloid,CXCL12,SDC4,0.85610443,0.0,0.18603694,0.7012203283989662,1.1332620885551088,0.03362051,0.81952083,0.22369854599083938,0.8102176501103662
CAFs,CAFs,CXCL12,SDC4,0.8561363,0.0,0.1861388,0.7012811543149866,1.1321858891409646,0.033638917,0.81956136,0.2228748820232735,0.810699411566383
CAFs,Cancer Epithelial,HMGB1,CXCR4,0.90822893,1.0,0.18772164,-0.22210637060359684,-1.2698205580907826,0.0019432793,0.8201866,1.0,0.8172211054059865
CAFs,Normal Epithelial,CXCL10,SDC4,0.56530154,0.0,0.22801362,0.6812756337181115,1.0320398051154425,0.07363105,0.8340816,0.09597540784822821,0.8176836965824712
Myeloid,PVL,CXCL12,ITGB1,0.8275382,0.0,0.18810086,0.2946092532428252,0.09349893534799347,0.009512191,0.8203354,1.0,0.8196454617524399
CAFs,PVL,CXCL12,ACKR3,0.8580586,0.0,0.19227311,1.0242520694327193,1.4484171984518541,0.2576925,0.8219464,0.0033322004014656407,0.8247078427818507
Myeloid,Normal Epithelial,CCL5,SDC1,0.28897893,0.001,0.08236967,0.06676529076512597,-0.48584738250669396,0.016458241,0.7513342,1.0,0.8330644841704612
PVL,PVL,CCL19,CCR10,0.2889692,0.0,0.0651869,0.5427911451543918,1.6156371653902508,0.21412504,0.72884315,0.06937991655135281,0.8333099618299175
Endothelial,Cancer Epithelial,CXCL12,CXCR4,0.34238222,1.0,0.06322737,-0.0867739620834948,-0.9208329186942942,0.0034465431,0.72581667,1.0,0.8414329763902321
B-cells,Plasmablasts,CCL5,CXCR3,0.15263031,1.0,0.022843964,-0.02179185996896707,-0.6934573545918639,0.009991282,0.61407536,1.0,0.8457004208703717
Endothelial,T-cells,CXCL12,ITGB1,0.5528704,0.254,0.30518666,0.02722546250782082,0.1404929072727732,0.015433178,0.85328406,1.0,0.855599016542844
Myeloid,Myeloid,CXCL10,TLR4,0.5320965,0.0,0.19590452,0.8931183827109705,1.649851937091693,0.31759548,0.82331145,0.011395650713424743,0.8656149277586722
Myeloid,PVL,CXCL10,ADRA2A,0.532474,0.0,0.19652924,0.8802872307707967,1.709678811037868,0.34582525,0.8235429,0.013133077685658696,0.8681337911897036
CAFs,PVL,CXCL9,ADRA2A,0.28326946,0.0,0.07814835,0.5752366995647241,0.9507434978410785,0.16769354,0.7463873,0.09597540784822821,0.8714158713312159
Endothelial,PVL,IL15RA,AXL,0.28305584,0.0,0.064600796,0.4754019135202603,0.4993006567092062,0.07181789,0.72794974,0.09597540784822821,0.8731864035221635
Plasmablasts,Plasmablasts,CCL5,CXCR3,0.15483633,1.0,0.023423567,-0.019460733761389556,-0.6441150408258698,0.010244783,0.61704,1.0,0.8806343078613281
PVL,Myeloid,CXCL12,ITGA5,0.2879309,0.0,0.061045315,0.09181409172445956,0.04728816365467778,0.018861754,0.7223082,1.0,0.8833506028871447
PVL,Cancer Epithelial,CXCL12,ITGB1,0.54350597,0.583,0.2837935,0.006630973162487244,-0.20544125484335052,0.0143513335,0.8486762,1.0,0.8841384022435779
Myeloid,PVL,CCL5,ADRA2A,0.280124,0.0,0.07665414,0.413486037887449,-0.17794841214899026,0.069829404,0.7445558,0.687501205744533,0.8876940733503295
Myeloid,Cancer Epithelial,CCL5,SDC4,0.47313145,0.0,0.20123291,0.3783023771820685,-0.08761937410052584,0.03364127,0.8252548,1.0,0.8902558068963253
PVL,B-cells,CCL21,CCR7,0.5391753,0.0,0.22348289,0.8479119840724577,1.7425239628136966,0.33674636,0.8326881,0.017286342568695545,0.8969008886638999
PVL,T-cells,CCL19,CCR7,0.45239797,0.0,0.20387481,0.5622795370058079,1.9572002682976979,0.1644093,0.8261933,0.09597540784822821,0.9015853665067232
PVL,Cancer Epithelial,CXCL12,SDC4,0.52965546,0.0,0.271722,0.4629058900771425,0.4830381582975873,0.049105473,0.8458638,0.09597540784822821,0.9333119550863134
Myeloid,PVL,CXCL11,ACKR3,0.16164751,0.0,0.024436869,0.46712748927847614,0.5470752932986417,0.20752431,0.62203115,0.09597540784822821,0.9404077239305859
CAFs,CAFs,IL15RA,AXL,0.272609,0.0,0.07325108,0.4635258662951758,0.4738918188284454,0.08143457,0.7402135,0.09597540784822821,0.943061393265963
Myeloid,Normal Epithelial,CXCL9,ACKR1,0.33992267,0.0,0.05731693,0.27331253499624514,-0.06628710683774941,0.019390903,0.71594393,1.0,0.9534914587538652
T-cells,Plasmablasts,CXCL13,CXCR3,0.28370902,0.0,0.05728329,0.37345720798616094,1.161484076590377,0.08045866,0.7158842,0.11526700694651104,0.9540282046504156
PVL,Plasmablasts,CXCL12,CXCR3,0.28357366,0.0,0.057247724,0.14145216088167786,0.08108217925006245,0.027066972,0.715821,0.7623648849459647,0.9545654019639803
PVL,Plasmablasts,CCL19,CXCR3,0.27783787,0.0,0.05574072,0.3503737687238362,1.44733785569867,0.08700218,0.7130999,0.14021564229939465,0.9857903305749105
Endothelial,T-cells,CXCL12,ITGA4,0.48183796,0.0,0.2235338,0.43869889790856587,0.7491119505968331,0.062438093,0.83270395,0.09597540784822821,0.9921161255221732
Endothelial,Normal Epithelial,TGFB1,CXCR4,0.26512823,1.0,0.047584295,-0.14415040723439665,-1.1616252990753675,0.002785673,0.69664735,1.0,1.0
PVL,Cancer Epithelial,CXCL12,CXCR4,0.27289274,1.0,0.047938704,-0.17325523095734302,-1.1949447786847927,0.0026131533,0.69743085,1.0,1.0
PVL,Cancer Epithelial,TGFB1,CXCR4,0.1899468,1.0,0.029689424,-0.26781993793239034,-1.3032932141742428,0.0017380739,0.64463234,1.0,1.0
Endothelial,Myeloid,IL15RA,AXL,0.19732755,0.0,0.037428826,0.2511935403170914,0.22356981596569364,0.04161031,0.67069995,0.332183957407188,1.0
Endothelial,Plasmablasts,CXCL12,CXCR4,0.48791727,0.986,0.23052207,0.03181368700045273,-0.4734403292709134,0.012565825,0.8348372,1.0,1.0
PVL,CAFs,CXCL12,SDC4,0.2762174,0.118,0.050836325,-0.020440652266735096,-0.10039386107792866,0.009187117,0.70358694,1.0,1.0
Endothelial,T-cells,CXCL12,CXCR3,0.5001577,0.0,0.24459264,0.6287555043873463,0.8900881674150468,0.11564446,0.83888143,0.09597540784822821,1.0
PVL,Endothelial,CXCL12,ITGA5,0.50649226,0.0,0.251534,0.6381763162643437,0.617457728840276,0.07771886,0.8407637,0.09597540784822821,1.0
Endothelial,Cancer Epithelial,TGFB1,CXCR4,0.26291466,1.0,0.045743383,-0.14595414464645542,-1.1588044554011345,0.0026779026,0.69246215,1.0,1.0
Myeloid,B-cells,CXCL12,ITGA4,0.21060807,0.968,0.03663769,0.056667151412397684,-0.27051048904464875,0.010233742,0.6683365,1.0,1.0
Myeloid,B-cells,CXCL12,ITGB1,0.19648878,1.0,0.033171248,-0.39691224775260864,-1.05490826268556,0.0016774578,0.65722984,1.0,1.0
Myeloid,CAFs,CXCL12,ITGAV,0.26451832,0.069,0.049873248,0.11706132382086175,-0.2677175185034095,0.010310307,0.70158863,1.0,1.0
Myeloid,CAFs,CCL5,SDC4,0.21969342,1.0,0.037648562,-0.10504416516180907,-0.6710513934760418,0.0062939283,0.671346,1.0,1.0
Myeloid,CAFs,CXCL12,ITGA5,0.17254531,1.0,0.027292863,-0.0001609182014482291,-0.4235723796233527,0.008432936,0.6349344,1.0,1.0
Myeloid,CAFs,IL15RA,AXL,0.2196704,0.0,0.040933453,0.3050092431449155,0.27345021443633183,0.04550647,0.68050766,0.2116937620115803,1.0
Endothelial,CAFs,CXCL12,ITGAV,0.49051923,0.0,0.23351306,0.39832431490030734,0.6172089071833428,0.048274204,0.8357241,0.09597540784822821,1.0
Endothelial,CAFs,IL15RA,AXL,0.23185712,0.0,0.04837313,0.3415003048155736,0.3382596018934586,0.053777292,0.69838184,0.1527327894437461,1.0
PVL,Myeloid,CXCL12,ITGB1,0.501203,1.0,0.24692407,-0.0397257981554935,-0.2921776411541348,0.01248686,0.8395216,1.0,1.0
PVL,Myeloid,CXCL12,SDC4,0.27618548,0.119,0.050808508,-0.02050147818275548,-0.09931766166378445,0.00918209,0.70352983,1.0,1.0
Cancer Epithelial,Plasmablasts,GNAI2,CXCR3,0.19180845,1.0,0.033137538,-0.07297602414921399,-0.30023979401120177,0.010947924,0.65711534,1.0,1.0
PVL,Normal Epithelial,CXCL12,CXCR4,0.27510634,1.0,0.04986797,-0.17145149354528422,-1.1977656223590256,0.0027183178,0.70157754,1.0,1.0
Myeloid,Endothelial,CXCL12,ITGAV,0.2038333,1.0,0.034974407,-0.015524820707141868,-0.4267985847817328,0.0072302665,0.6631672,1.0,1.0
Normal Epithelial,Plasmablasts,CXCL14,CXCR4,0.49808607,0.082,0.23867899,0.08794523448535202,-0.25710371949225863,0.017441224,0.8372206,1.0,1.0
Normal Epithelial,Plasmablasts,GNAI2,CXCR3,0.17761394,1.0,0.029408107,-0.09294213059199745,-0.3373129670689732,0.009715801,0.64354116,1.0,1.0
PVL,Normal Epithelial,TGFB1,CXCR4,0.19216037,1.0,0.030884257,-0.2660162005203316,-1.3061140578484758,0.0018080215,0.6491386,1.0,1.0
PVL,PVL,CCL21,ADRA2A,0.2587055,0.0,0.0664796,0.7164180625204528,1.2321067052321295,0.40382645,0.73077923,0.0639880526269248,1.0
PVL,PVL,CCL21,CCR10,0.21676248,0.0,0.04300045,0.5521980490501632,1.0887790739246501,0.2639222,0.685839,0.09597540784822821,1.0
